# MLB Redraft Points Rankings
# Rotoballer - Nicklaus Gaut 
# 3/10/2025
Rank,Player
174,Keibert Ruiz
175,Jonathan India
176,Robbie Ray
177,Spencer Strider
178,Jurickson Profar
179,Roki Sasaki
180,Michael Wacha
181,Adolis Garcia
182,Felix Bautista
183,Andres Munoz
184,Ranger Suarez
185,JJ Bleday
186,Jorge Soler
187,Pete Crow-Armstrong
188,Jeff Hoffman
189,Tanner Scott
190,Brandon Nimmo
191,Lourdes Gurriel Jr.
192,Brady Singer
193,Michael Busch
194,Brendan Donovan
195,Mike Trout
196,Merrill Kelly
197,Erick Fedde
198,Cedric Mullins
199,Jesus Luzardo
200,Nico Hoerner
201,Rhys Hoskins
202,Colton Cowser
203,Bryan Woo
204,Nestor Cortes
205,Jacob deGrom
206,Jameson Taillon
207,Joey Ortiz
208,Lane Thomas
209,Tyler Fitzgerald
210,Tommy Edman
211,Sean Manaea
212,Jake Cronenworth
213,Ryan Jeffers
214,Zack Gelof
215,Josh Bell
216,Tyler Stephenson
217,Nolan Schanuel
218,Grayson Rodriguez
219,Maikel Garcia
220,Connor Norby
221,Nick Lodolo
222,Luis Severino
223,Jasson Dominguez
224,Bowden Francis
225,Brayan Bello
226,Clarke Schmidt
227,Josh Lowe
228,Heliot Ramos
229,Spencer Arrighetti
230,Carlos Santana
231,Ryan Mountcastle
232,Colt Keith
233,Luis Rengifo
234,Brandon Lowe
235,Charlie Morton
236,Ivan Herrera
237,JP Sears
238,Gavin Williams
239,Alejandro Kirk
240,Royce Lewis
241,Lars Nootbaar
242,Jake McCarthy
243,Robert Suarez
244,Willi Castro
245,Clay Holmes
246,Daulton Varsho
247,Victor Robles
248,Trevor Megill
249,Shane Baz
250,Bo Naylor
251,Tyler Soderstrom
252,Kerry Carpenter
253,Jeffrey Springs
254,J.P. Crawford
255,Reese Olson
256,Jake Irvin
257,Justin Martinez
258,Christopher Morel
259,Geraldo Perdomo
260,David Peterson
261,Dean Kremer
262,Josh Jung
263,Jung Hoo Lee
264,Jose Soriano
265,TJ Friedl
266,Brandon Woodruff
267,Spencer Steer
268,Tyler Anderson
269,Christian Encarnacion-Strand
270,Ke'Bryan Hayes
271,Miles Mikolas
272,Danny Jansen
273,Connor Wong
274,Nick Martinez
275,Yu Darvish
276,Jacob Wilson
277,Jeimer Candelario
278,Aaron Civale
279,Matt Shaw
280,Matt Wallner
281,Francisco Alvarez
282,Patrick Bailey
283,Tyler O'Neill
284,Parker Meadows
285,Eduardo Rodriguez
286,Brayan Rocchio
287,Ryan Pressly
